ID,Nombre,Tipo,Categoría,Subcategoría,Objetivo,Nivel,Tipo escalador,Equipo,Descripción,Series,Reps,Tiempo,TUT,Descanso,Intensidad,Frecuencia,Progresión,Regresión,Errores comunes,Precauciones,Señales detener,Riesgo,Tags,Fuente primaria,Fuente secundaria,URL fuente,Estado,Publicable app,Validación profesional,Notas
FD-001,Dead-hang / finger hang básico en hangboard,Ejercicio,Fuerza de dedos,Hangboard / isométrico,Desarrollar fuerza específica de flexores de dedos y tolerancia a agarres,Intermedio en adelante,Escaladores con \>2 años de entrenamiento sistemático; no recomendado para principiantes según criterios de López-Rivera,Hangboard / fingerboard con regletas cómodas,"Calentar; colocarse bajo la presa; agarrar a anchura de hombros o ligeramente más; transferir peso progresivamente de pies a manos; mantener core, escápulas activas, codos extendidos y hacia dentro; colgar sin balanceo y bajar con control.",No especificado en la fuente,No especificado en la fuente,Variable según método,No especificado en la fuente,No especificado en la fuente,Alta si se usa regleta pequeña o carga alta,No especificado en la fuente,"Añadir peso, reducir tamaño de regleta o aumentar tiempo sólo si la técnica se mantiene","Usar regletas más grandes, asistencia con gomas/polea o pies apoyados",Balancearse; flexionar codos sin objetivo; abrir codos tipo chicken wing; colgar pasivo; extender cuello demasiado,"Riesgo medio/alto. Requiere experiencia, ausencia de lesión y validación profesional si hay historial de dedos, codo, hombro o muñeca",Dolor tendinoso/articular; pérdida de posición de dedos; dolor agudo; incapacidad de mantener escápulas activas; deterioro técnico,Medio/alto,"hangboard, dead-hang, riesgo medio-alto, flexores dedos",López-Rivera,FUERZA DE DEDOS,https://docs.google.com/document/d/1DHnfOXVF6a-t2YIuagB0EpX8IqULcHXf0SrvM0jYRIY/edit?usp=drivesdk,Pendiente limpieza,Sí con advertencia,Requiere validación profesional si hay dolor o historial de lesión,Importado primer lote desde documento FUERZA DE DEDOS
FD-002,MaxHangs con peso añadido — MAW,Ejercicio / método,Fuerza de dedos,Fuerza máxima / hangboard,Mejorar fuerza máxima por alta tensión mecánica y adaptaciones neurales,Intermedio-avanzado / avanzado,Escaladores con experiencia en hangboard; idealmente con base técnica y sin lesión,"Hangboard, regleta fija, arnés/cinturón con lastre","Elegir regleta fija, preferentemente 18–20 mm al inicio; añadir carga externa según tiempo objetivo y margen antes del fallo; colgar con técnica activa y sin balanceo; mantener el tiempo prescrito sin llegar al fallo; descansar completamente.",No especificado en la fuente,No especificado en la fuente,Corto; la fuente indica duraciones cortas,No especificado en la fuente,No especificado en la fuente,Alta; típicamente ≥80%; siempre con margen antes del fallo,No especificado en la fuente,Aumentar peso gradualmente; pasar a menor regleta sólo si el peso añadido se vuelve incómodo o hay estancamiento,"Reducir peso, usar asistencia o aumentar tamaño de agarre",Ir al fallo; aumentar peso demasiado rápido; usar regleta muy pequeña de entrada; perder escápulas activas,"Riesgo alto por alta carga en dedos. Requiere validación profesional en caso de dolor, lesión previa o deportistas jóvenes",Dolor en poleas/tendones; fallo técnico; apertura involuntaria de dedos; dolor articular; fatiga que altera forma,Alto,"MaxHangs, MAW, fuerza máxima, riesgo alto",López-Rivera,FUERZA DE DEDOS,https://docs.google.com/document/d/1DHnfOXVF6a-t2YIuagB0EpX8IqULcHXf0SrvM0jYRIY/edit?usp=drivesdk,Pendiente limpieza,Sí con bloqueo por perfil,"Requiere validación profesional si hay dolor, lesión previa o deportistas jóvenes",Importado primer lote
FD-003,MaxHangs con mínima profundidad de regleta — MED,Ejercicio / método,Fuerza de dedos,Fuerza máxima / regleta mínima,Mejorar fuerza máxima ajustando dificultad por tamaño de agarre,Avanzado,Escaladores con base sólida; no recomendado para principiantes,Hangboard con regletas de distintos tamaños o tabla tipo Transgression,Elegir un tamaño de regleta que permita cumplir el tiempo objetivo y margen antes del fallo; mantener técnica activa; colgar sin balanceo; registrar tamaño de regleta y tiempo; progresar sólo si se mantiene calidad.,No especificado en la fuente,No especificado en la fuente,Corto; no especificado con número exacto,No especificado en la fuente,No especificado en la fuente,Alta; típicamente ≥80%,No especificado en la fuente,Usar regleta más pequeña o agarre más difícil,Usar regleta más profunda o asistencia,Reducir regleta antes de tener control; buscar fallo; usar presas agresivas,Riesgo alto por regletas pequeñas. Requiere validación profesional si hay dolor o historial de lesión,"Dolor de poleas, articulaciones o tendones; pérdida de forma; sensación de tirón",Alto,"MaxHangs, MED, regleta mínima, riesgo alto",López-Rivera,FUERZA DE DEDOS,https://docs.google.com/document/d/1DHnfOXVF6a-t2YIuagB0EpX8IqULcHXf0SrvM0jYRIY/edit?usp=drivesdk,Pendiente limpieza,Sí con bloqueo por perfil,Requiere validación profesional si hay dolor o historial de lesión,Importado primer lote
FD-005,Repeaters Hörst — 3 a 10 s + 5 s descanso,Protocolo,Fuerza de dedos,Fuerza de contacto / resistencia específica,Construir fuerza de contacto en variedad de agarres,Intermedio-avanzado,Escaladores que ya hacen entrenamiento de fuerza; Horst sugiere principiantes con volumen menor y avanzados con más agarres,Fingerboard con agarres pequeños/medianos cómodos,Calentar con escalada suave y dominadas en agarres grandes; mantener brazos casi rectos; usar agarres razonablemente cómodos; hacer 6 colgadas máximas sobre el mismo par de agarres; cada colgada dura 3–10 s con 5 s exactos de descanso; descansar 1 min y repetir; pasar a otro agarre.,Principiantes: 12 sets totales / 6 agarres. Avanzados: 20 sets / 10 agarres,6 colgadas por set,3–10 s por colgada,No especificado en la fuente,5 s entre colgadas; 1 min entre sets,Máxima intensidad; añadir peso si se puede colgar \>10 s,No especificado en la fuente,Añadir peso gradualmente desde 5 lb si se puede colgar \>10 s; trabajar agarres problema primero,Reducir número de agarres/sets; usar agarres más grandes; no añadir peso,Usar presas tweaky o filosas; usar monodedos antes de nivel alto; exceso de volumen,Riesgo alto por máxima intensidad y alto volumen. Requiere experiencia y control de fatiga,Dolor en dedos/codo; incapacidad de completar tiempos; deterioro técnico,Alto,"repeaters, Hörst, contacto, volumen alto, riesgo alto","Horst, How to Climb 5.12",FUERZA DE DEDOS,https://docs.google.com/document/d/1DHnfOXVF6a-t2YIuagB0EpX8IqULcHXf0SrvM0jYRIY/edit?usp=drivesdk,Pendiente limpieza,Sí con bloqueo por perfil,"Requiere validación profesional si hay dolor, lesión previa o deportistas jóvenes",Importado primer lote
FD-006,Suspensión máxima en regleta de 25 mm — test / referencia,Test,Fuerza de dedos,Test de resistencia/fuerza específica,Evaluar si el escalador está listo para dead-hangs y estimar capacidad específica,Intermedio,Escaladores candidatos a hangboard,Hangboard con regleta de 25 mm,"Calentar; colgarse de una regleta de 25 mm; mantener técnica activa; registrar tiempo máximo; interpretar: si puede colgar 15 s, puede empezar dead-hangs; si \<15 s, la fuente sugiere que la escalada normal es suficiente estímulo.",1 test,1 intento o No especificado en la fuente,Tiempo máximo; umbral citado: 15 s,No especificado en la fuente,No especificado en la fuente,Máxima tolerable para test; riesgo medio,No especificado en la fuente,Repetir tras bloque de entrenamiento,"Usar regleta mayor, asistencia o más escalada general",Testear fatigado; usar técnica pasiva; balancearse,Riesgo medio. Evitar si hay lesión o dolor. Requiere validación profesional si se usa para prescribir cargas,"Dolor, pérdida de agarre, técnica insegura",Medio,"test, 25 mm, readiness, riesgo medio",López-Rivera,FUERZA DE DEDOS,https://docs.google.com/document/d/1DHnfOXVF6a-t2YIuagB0EpX8IqULcHXf0SrvM0jYRIY/edit?usp=drivesdk,Pendiente limpieza,Sí con advertencia,"Requiere validación profesional si hay lesión, dolor o se usa para prescribir carga",Importado primer lote
FD-007,Test MIFS — fuerza isométrica máxima de dedos con polea,Test,Fuerza de dedos,Test de fuerza máxima,Medir fuerza máxima isométrica de flexores de dedos y prescribir intensidades,Intermedio a élite,Escaladores con mínimo 5 años en el estudio de validez; familiarizados con entrenamiento específico de antebrazo,"Regleta Lattice 20 mm, polea para añadir/quitar carga, arnés, cronómetro","Llegar descansado; calentamiento propio + estandarizado; usar medio arqueo o mano abierta sin pulgar; no full crimp ni 3-finger drag; colgar con un brazo, hombro elevado 170–180°, ligera flexión de codo y hombros activos; hacer intentos de 5 s aumentando carga progresivamente hasta fallo; registrar máxima carga completada 5 s con posición mantenida.",Idealmente ≤8 intentos para evitar fatiga acumulada,Intentos únicos progresivos,5 s por intento,No especificado en la fuente,30 s entre brazos; 90 s entre intentos; mínimo 120 s entre intentos del mismo brazo,Máxima en test; carga añadida o asistencia en incrementos de 0.5–5 kg,Test/retest mínimo 48 h en estudio,Aumentar carga si completa 5 s con forma,Quitar carga mediante polea,Cambiar posición de dedos; resbalar de 4 a 3 dedos; usar full crimp; fatigar demasiado con muchos intentos,"Riesgo alto por test máximo. Requiere experiencia, ausencia de lesión y supervisión",No completar 5 s; cambio de agarre; dolor; resbalón; pérdida de posición,Alto,"test MIFS, 20 mm, polea, fuerza máxima, riesgo alto",Torr et al.,FUERZA DE DEDOS,https://docs.google.com/document/d/1DHnfOXVF6a-t2YIuagB0EpX8IqULcHXf0SrvM0jYRIY/edit?usp=drivesdk,Pendiente limpieza,Sí con bloqueo por perfil,Requiere validación profesional,Importado primer lote
FD-008,Test de fuerza máxima de flexores en agarre open crimp con dispositivo específico,Test,Fuerza de dedos,Test de fuerza máxima específica,Diferenciar niveles y predecir rendimiento mejor que dinamometría manual,Intermedio-avanzado / avanzado,"Escaladores intermedios y avanzados; estudio comparó avanzados, intermedios y no escaladores",Dispositivo específico que imita posición de escalada; agarre open crimp,Calentamiento estandarizado; posicionar brazo/antebrazo en dispositivo con postura similar a escalada; hacer 4 repeticiones máximas; cada contracción dura 5 s all-out; descansar 30 s entre repeticiones; tomar el pico más alto y normalizar por peso corporal.,1 bloque de 4 repeticiones,4 contracciones máximas,5 s all-out,No especificado en la fuente,30 s entre reps,Máxima,No especificado en la fuente,Mejorar %BW tras bloque de entrenamiento,No especificado en la fuente,Usar handgrip genérico como sustituto; la fuente indica menor especificidad,Riesgo alto por contracciones máximas. Requiere validación profesional,"Dolor, incapacidad de sostener posición, compensaciones",Alto,"test, open crimp, %BW, riesgo alto",Marcolin et al.,FUERZA DE DEDOS,https://docs.google.com/document/d/1DHnfOXVF6a-t2YIuagB0EpX8IqULcHXf0SrvM0jYRIY/edit?usp=drivesdk,Pendiente limpieza,Sí con bloqueo por perfil,Requiere validación profesional,Importado primer lote
FD-009,Test de resistencia de dedos con contracciones intermitentes máximas — E1/E2,Test,Fuerza de dedos,Test de resistencia de fuerza / fatiga,Evaluar mantenimiento de fuerza bajo fatiga y relación con nivel de escalada,Avanzado / investigación,"Escaladores intermedios, avanzados y no escaladores en estudio; útil para evaluación profesional",Dispositivo específico de agarre open crimp; barra de suspensión para test intermedio,Calentamiento; test máximo de dedos; 4 min descanso; handgrip máximo; 4 min descanso; E1 con 20 contracciones máximas de dedos 5 s all-out + 5 s descanso; 4 min descanso; suspensión hasta agotamiento; 4 min descanso; E2 repetir 20 contracciones máximas.,2 bloques E1/E2 de 20 reps,20 + 20 contracciones máximas,5 s esfuerzo / 5 s descanso,No especificado en la fuente,5 s entre reps; 4 min entre pruebas,"Máxima, alta fatiga",No especificado en la fuente,Mejorar menor decremento Flow/Fhigh y fuerza final,No especificado en la fuente,Subestimar fatiga acumulada; usarlo sin supervisión; compararlo con escalada real sin contexto,Riesgo alto por fatiga y máxima intensidad. Requiere validación profesional,"Dolor, caída brusca de fuerza, técnica alterada, fatiga excesiva",Alto,"test resistencia dedos, E1, E2, fatiga, riesgo alto",Marcolin et al.,FUERZA DE DEDOS,https://docs.google.com/document/d/1DHnfOXVF6a-t2YIuagB0EpX8IqULcHXf0SrvM0jYRIY/edit?usp=drivesdk,Pendiente limpieza,Sólo educativo / evaluación profesional,Requiere validación profesional,Importado primer lote
FD-010,Suspensión en barra hasta agotamiento — test de resistencia,Test,Fuerza de dedos,Test de resistencia / suspensión,Medir tiempo de suspensión y discriminar nivel,Intermedio-avanzado,Escaladores y no escaladores en investigación,Barra de madera / barra,Colgarse de la barra; mantener suspensión hasta agotamiento; finalizar cuando el ángulo de codo cae por debajo de 90° según estudio; registrar tiempo.,1,1 intento,Hasta agotamiento,No especificado en la fuente,No especificado en la fuente dentro del test aislado; en protocolo del estudio hubo 4 min antes/después,Máxima hasta agotamiento,No especificado en la fuente,Aumentar tiempo de suspensión,Usar asistencia o agarre más fácil,Usar balanceo; no estandarizar criterio de finalización,Riesgo medio/alto por agotamiento,Dolor; pérdida de control; caída de ángulo bajo criterio; fatiga excesiva,Medio/alto,"test suspensión, resistencia, riesgo medio-alto",Marcolin et al.,FUERZA DE DEDOS,https://docs.google.com/document/d/1DHnfOXVF6a-t2YIuagB0EpX8IqULcHXf0SrvM0jYRIY/edit?usp=drivesdk,Pendiente limpieza,Sí con advertencia,Requiere validación profesional si hay dolor o lesión,Importado primer lote
FD-011,Fingerboard multigrip competitivo,Ejercicio / método,Fuerza de dedos,Hangboard / fuerza-resistencia,"Mejorar fuerza de agarre, dead-hang e intermittent finger hangs",Avanzado / competitivo,Boulderistas altamente avanzados,Fingerboard con múltiples agarres,"Entrenamiento en fingerboard con variedad de agarres, sin pies en el suelo, para estímulo alto de fuerza/resistencia específica. El detalle exacto del protocolo completo no aparece en el fragmento recuperado.",No especificado en la fuente,No especificado en la fuente,No especificado en la fuente,No especificado en la fuente,No especificado en la fuente,Alta,Bloque de 4 semanas en estudio,No especificado en la fuente,No especificado en la fuente,No especificado en la fuente,Riesgo medio/alto por alta carga y volumen competitivo,"Dolor, fatiga técnica, deterioro de forma",Medio/alto,"fingerboard, competitivo, boulder, riesgo medio-alto",Medernach et al.,FUERZA DE DEDOS,https://docs.google.com/document/d/1DHnfOXVF6a-t2YIuagB0EpX8IqULcHXf0SrvM0jYRIY/edit?usp=drivesdk,Incompleto,Sólo educativo,Requiere validación profesional si se usa como protocolo,Falta dosis detallada en fuente recuperada
