exercise_id,exercise_name,exercise_category,risk_level,gates_blocked_by,gates_controlled_by,gates_governed_by,gates_canonical_count,gates_related_to,gates_weak_count
EX-ARC-001,Traversing continuo fácil,ARC,"Pump alto, técnica rota, dolor dedos/codo/hombro",,,,0,GT-ARC-001,1
EX-ARC-002,Vueltas en top-rope fácil,ARC,Pump alto o miedo excesivo,,,,0,GT-ARC-002,1
EX-ARC-003,Autobelay laps suaves,ARC,"Fatiga técnica, dolor",,,,0,GT-ARC-003,1
EX-ARC-004,Boulder fácil repetido,ARC,"Caídas frecuentes, técnica rota",,,,0,GT-ARC-004,1
EX-ARC-005,Circuito de presas grandes,ARC,"Pump alto, dolor dedos",,,,0,GT-ARC-005,1
EX-ARC-006,Downclimbing fácil,ARC/Técnica,"Miedo, fatiga excesiva",,,,0,GT-ARC-006,1
EX-ARC-007,ARC con pies silenciosos,ARC/Técnica,Técnica se degrada,,,,0,GT-ARC-007,1
EX-ARC-008,ARC con agarre mínimo,ARC/Técnica,Pump alto o dolor dedos,,,,0,GT-ARC-008,1
EX-ARC-009,Circuito easy-moderate sin fallo,ARC,"Pump alto, fallos repetidos",,,,0,GT-ARC-009,1
EX-ARC-010,Escalada continua por tiempo,ARC,RPE alto o pump alto,,,,0,GT-ARC-010,1
EX-ARC-011,Subidas muy fáciles con respiración nasal,ARC,"Ahogo, mareo",,,,0,GT-ARC-011,1
EX-ARC-012,ARC en slab/vertical,ARC,Dolor pies/rodilla/dedos,,,,0,GT-ARC-012,1
EX-ARC-013,ARC en desplome leve,ARC,"Pump alto, fallo",,,,0,GT-ARC-001,1
EX-ARC-014,Volumen técnico en vías conocidas,ARC/Táctica,Fatiga técnica,,,,0,GT-ARC-002,1
EX-ARC-015,Circuito descanso activo,ARC,Fatiga acumulada,,,,0,GT-ARC-003,1
EX-ARC-016,ARC con cambio de ritmo suave,ARC,Pump alto,,,,0,GT-ARC-004,1
EX-ARC-017,Escalada continua en pareja,ARC,Fatiga excesiva,,,,0,GT-ARC-005,1
EX-ARC-018,ARC de recuperación post-proyecto,ARC,Pump residual alto,,,,0,GT-ARC-006,1
EX-ARC-019,Circuito de continuidad con reposos breves,ARC,Fallos o pump alto,,,,0,GT-ARC-007,1
EX-ARC-020,ARC con foco visual/lectura,ARC/Técnica,Tensión mental alta,,,,0,GT-ARC-008,1
EX-CAMP-001,Campus ladder básico con pies,Campus y potencia específica,Medio,,,,0,,0
EX-CAMP-002,Campus ladder sin pies,Campus y potencia específica,Alto,,,,0,,0
EX-CAMP-003,Touches en campus con pies,Campus y potencia específica,Medio,,,,0,,0
EX-CAMP-004,Touches sin pies,Campus y potencia específica,Alto,,,,0,,0
EX-CAMP-005,Bump en listón grande con pies,Campus y potencia específica,Medio,,,,0,,0
EX-CAMP-006,Bump sin pies,Campus y potencia específica,Alto,,,,0,,0
EX-CAMP-007,Doble dyno en campus con pies,Campus y potencia específica,Alto,,,,0,,0
EX-CAMP-008,Doble dyno sin pies,Campus y potencia específica,Alto,,,,0,,0
EX-CAMP-009,Drop-catch asistido,Campus y potencia específica,Alto,,,,0,,0
EX-CAMP-010,Drop-catch avanzado,Campus y potencia específica,Alto,,,,0,,0
EX-CAMP-011,Limit boulder dinámico,Campus y potencia específica,Medio,,,,0,,0
EX-CAMP-012,Coordinación dyno,Campus y potencia específica,Medio,,,,0,,0
EX-CAMP-013,Deadpoint a presa objetivo,Campus y potencia específica,Medio,,,,0,,0
EX-CAMP-014,Movimiento coordinativo de compresión,Campus y potencia específica,Medio,,,,0,,0
EX-CAMP-015,Lanzamiento controlado a presa grande,Campus y potencia específica,Medio,,,,0,,0
EX-CAMP-016,Boulder de 1-3 movimientos límite,Campus y potencia específica,Alto,,,,0,,0
EX-CAMP-017,Boulder de coordinación de bajo volumen,Campus y potencia específica,Medio,,,,0,,0
EX-CAMP-018,System board pull-through dinámico,Campus y potencia específica,Alto,,,,0,,0
EX-CAMP-019,Board move a presa mala,Campus y potencia específica,Alto,,,,0,,0
EX-CAMP-020,Explosive pull-up,Campus y potencia específica,Medio,,,,0,,0
