vocabulary,raw_value,count
equipment,Activación en espalda alta.,1
equipment,Movilidad/activación suave.,1
equipment,"En cuadrupedia, apoyar palmas, desplazar el peso adelante y atrás sin dolor. Mantener codos extendidos suaves y respiración controlada.",1
equipment,"Mover la muñeca lentamente en círculos completos, evitando compensar con antebrazo.",1
equipment,Realizar círculos lentos de hombro manteniendo costillas controladas y sin dolor.,1
equipment,"Antebrazos o manos en pared; mover escápulas en elevación, depresión, protracción y retracción con control.",1
equipment,"Mano detrás de cabeza, abrir codo hacia el techo y volver. Mantener pelvis estable.",1
equipment,"Acostado lateral, rodillas flexionadas; abrir brazo superior hacia atrás siguiendo con la mirada.",1
equipment,"En cuadrupedia, alternar flexión y extensión de columna intentando segmentar el movimiento.",1
equipment,"Sentado en 90/90, cambiar de lado de forma controlada sin colapsar torso.",1
equipment,"Desplazar peso a una pierna en sentadilla lateral, mantener talón apoyado si es posible.",1
equipment,"Mantener sentadilla profunda con apoyo si hace falta, columna larga y pies activos.",1
equipment,"Llevar rodilla hacia pared sin despegar talón, controlar alineación de rodilla.",1
equipment,"Desde zancada, apoyar mano y rotar el torso elevando brazo.",1
equipment,Deslizar brazos por pared manteniendo costillas abajo y sin dolor.,1
equipment,"En plancha o cuadrupedia, mover escápulas sin flexionar codos.",1
equipment,Apoyar dorsal sobre roller y extender suavemente con respiración.,1
equipment,"De pie sobre una pierna, abrir y cerrar pelvis con control usando apoyo.",1
equipment,"Gatear lento con rodillas cerca del suelo, controlando hombros, cadera y respiración.",1
equipment,"Boca abajo, llevar brazos de overhead a espalda baja con control sin dolor.",1
equipment,"Tomar pies, bajar a sentadilla, luego elevar caderas extendiendo rodillas parcialmente.",1
equipment,"Zancada larga, codo hacia suelo y rotación de torso hacia pierna adelantada.",1
equipment,Palmas al suelo con dedos hacia rodillas; desplazar suavemente cadera atrás.,1
equipment,"Sentarse sobre talones con dedos extendidos, graduando presión.",1
equipment,"Movimientos lentos de flexión, extensión leve, inclinación y rotación sin forzar.",1
equipment,"Con agarre amplio, pasar banda/palo de frente a atrás sin dolor ni compensar lumbar.",1
equipment,"Acostado cerca de pared, elevar y bajar pierna con control dentro de rango cómodo.",1
equipment,Alternar zancada lateral de lado a lado con control y pies activos.,1
equipment,"Desde puente de glúteo, rotar y alcanzar con brazo hacia atrás sin dolor lumbar.",1
equipment,"Extender codo, llevar muñeca a extensión suave con ayuda de la otra mano sin dolor.",1
equipment,"Extender codo, flexionar muñeca suavemente con ayuda de la otra mano.",1
equipment,"Antebrazo en marco de puerta, girar torso suavemente hasta sentir tensión cómoda.",1
equipment,"Manos en pared, llevar cadera atrás y respirar en la espalda lateral.",1
equipment,"Desde postura del niño, caminar manos hacia un lado para sentir dorsal opuesto.",1
equipment,"Rodilla atrás apoyada, pelvis en retroversión suave y avanzar levemente.",1
equipment,"Rodilla cerca de pared, empeine atrás, tronco erguido sin compensar lumbar.",1
